"","X","Y","month","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","grid"
"1",1,2,"8",91,163.2,744.4,10.1,26.7,35,1.8,0,5.8,"1-2"
"2",1,3,"8",95.9,158,633.6,11.3,32.4,27,2.2,0,0,"1-3"
"3",1,4,"8",94.4,146,614.7,11.3,25.6,42,4,0,0,"1-4"
"4",1,5,"9",93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,"1-5"
"5",2,2,"8",94.6,212.1,680.9,9.5,27.9,27,2.2,0,0,"2-2"
"6",2,3,"9",91.6,108.4,764,6.2,18,51,5.4,0,0,"2-3"
"7",2,4,"8",95.2,217.7,690,18,30.8,19,4.5,0,0,"2-4"
"8",2,5,"8",94.9,130.3,587.1,14.1,33.1,25,4,0,26.43,"2-5"
"9",3,3,"9",92.2,102.3,751.5,8.4,24.2,27,3.1,0,6.58,"3-3"
"10",3,4,"8",96.1,181.1,671.2,14.3,32.3,27,2.2,0,14.68,"3-4"
"11",3,5,"8",93.5,139.4,594.2,20.3,17.6,52,5.8,0,0,"3-5"
"12",3,6,"9",92.4,124.1,680.7,8.5,17.2,58,1.3,0,0,"3-6"
"13",4,3,"8",94.5,139.4,689.1,20,28.9,29,4.9,0,49.59,"4-3"
"14",4,4,"8",95.8,152,624.1,13.8,32.4,21,4.5,0,0,"4-4"
"15",4,5,"8",96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77,"4-5"
"16",4,6,"9",93.5,149.3,728.6,8.1,28.3,26,3.1,0,64.1,"4-6"
"17",5,4,"9",93.3,141.2,713.9,13.9,27.6,30,1.3,0,0,"5-4"
"18",5,5,"8",94,47.9,100.7,10.7,17.3,80,4.5,0,0,"5-5"
"19",5,6,"9",94.3,85.1,692.3,15.9,25.9,24,4,0,0,"5-6"
"20",6,3,"9",93.4,145.4,721.4,8.1,30.2,24,2.7,0,0,"6-3"
"21",6,4,"8",94.8,227,706.7,12,23.3,34,3.1,0,28.74,"6-4"
"22",6,5,"8",96.1,181.1,671.2,14.3,33.3,26,2.7,0,40.54,"6-5"
"23",6,6,"8",96,164,643,14,30.8,30,4.9,0,8.59,"6-6"
"24",7,4,"9",92.4,105.8,758.1,9.9,25.3,27,2.7,0,0,"7-4"
"25",7,5,"8",96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,"7-5"
"26",8,3,"9",84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,"8-3"
"27",8,4,"8",91.6,273.8,819.1,7.7,21.3,44,4.5,0,12.18,"8-4"
"28",8,5,"8",93.1,157.3,666.7,13.5,26.8,25,3.1,0,0.68,"8-5"
"29",8,6,"8",94.9,130.3,587.1,14.1,31,27,5.4,0,0,"8-6"
"30",8,8,"8",91.7,191.4,635.9,7.8,26.2,36,4.5,0,185.76,"8-8"
"31",9,4,"9",84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66,"9-4"
"32",9,6,"8",91.6,248.4,753.8,6.3,20.5,58,2.7,0,42.87,"9-6"
"33",9,9,"8",94.8,227,706.7,12,25,36,4,0,0,"9-9"
